Komentar,text_clean,Label_Teks,Label_Angka
"untuk aktivasi kerja harian, berangkat 5000 pulang 5000.hm...sebanding gak ya kalo bawa motor sendiri, lebih efisien waktu, dan cepat sampai.",aktivasi kerja hari berangkat pulang hm banding ya kalau bawa motor sendiri lebih efisien waktu cepat,Negatif,-1
akukikaaa Buat karyawan yg di bawah umr. Ini berat. Tujuan naik transjakarta pulang pergi walaupun jaraknya kantor ke rumah jauh juga dibelain. Karna terbantu transjakarta😭😭 10-26 0 Reply,akukika buat karyawan di bawah umr berat tuju naik transjakarta pulang pergi walaupun jarak kantor rumah jauh bain bantu transjakarta,Negatif,-1
"Alamakk 3,500 aj udah menngis malah jadi 5 rb🗿 klo bolak balik beda tmpat dlm satu hari sangat menyala udah mending beli bensin",alamakk udah menngis malah jadi rb kalau bolak balik beda tmpat dlm satu hari sangat nyala udah mending beli bensin,Negatif,-1
ALAMAKKK JANGAN DONG,alamak jangan,Negatif,-1
alamat macet lg jalanan,alamat macet lg jalan,Negatif,-1
"alasan ASN digratiskan apa yang mulia? mereka aja hengponnya ipon kok, liburan pd ke LN masa naik TJ jg digratisin",alas asn gratis apa mulia saja hengponnya ipon libur pd ln masa naik transjakarta jg digratisin,Negatif,-1
"Alasannya per orang udah ditanggung pemda DKI, LAH KENAPA LU GAK NANGGUNG PER KM BENSINNNN? MALAH ORANG??? 😂😂😂😂😂😂",alas per orang udah tanggung pemda dki lah kamu nanggung per km bensin malah orang,Negatif,-1
"Alexa Lim inflasi!! Ampe sekarang gub jakarta ga mau transparan soal apbd yg hampir 90t yah di kemanain aja tiba"" akhir tahun sisa 14.5 t yg ngendap d bank aja 😂 10-26 1 Reply",alexa lim inflasi ampe sekarang gubernur jakarta tidak mau transparan soal apbd hampir yah kemanain tiba akhir tahun sisa yang ngendap bank reply,Negatif,-1
beralih ke motor klo gt soalnya janjinya dulu gratis 😁,alih motor kalau gt soal janji dulu gratis,Negatif,-1
beralih ke motor lg...,alih motor lg,Negatif,-1
"Ya Allah. Dompet kita, makin ke sana main nya.",allah dompet makin sana main,Negatif,-1
ya allah gaji 3jt blm potongan tiap bln blm naek tj goceng berasa bgt😭,allah gaji jt belum potong tiap bln belum naik transjakarta lima ribu asa,Negatif,-1
"ya Allah gmna saya rakyat kecil, hi-dup sudah susah di tambah susah, jakarta memang kejam😭😭",allah gmna rakyat kecil hi dup susah tambah susah jakarta memang kejam,Negatif,-1
ya allah gue pp jadi mahal banget 😭,allah gue pulang pergi jadi mahal,Negatif,-1
Ya allah jadi naik,allah jadi naik,Negatif,-1
ya allah jgn naik kek..ank gw lg magang.kan gk dpt gaji..kasian gw emaknye ini,allah naik ank lg magang gk gaji kasi emaknye,Negatif,-1
ya allah jangan naik kek gaji gw kecil bgt 😭😭😭😭,allah jangan naik gaji kecil,Negatif,-1
"ya Allah pak ..kenapa malah ngebebani warga,masa harga TJ jd 7000,kasian pak yg para pelajar menggunakan tj,org tua nya jd beban",allah kenapa malah ngebebani warga masa harga transjakarta kasi yang ajar guna transjakarta org tua jd beban,Negatif,-1
ya allah knp hrs naik siih 😭,allah knp hrs naik siih,Negatif,-1
ya allah padahal angkutan uang rakyat yg di subsidi malah naik zalim zalim,allah padahal angkut uang rakyat di subsidi malah naik zalim zalim,Negatif,-1
ya Allah please jangan naik apa 😞,allah please jangan naik apa,Negatif,-1
ya Allah ... dari saya kerja 2013 baru naik 😭.tapi jangan naik siii . .. tapi perbanyak ya armada nya jgn nungguin lama .😁,allah saya kerja baru naik tapi jangan naik tapi banyak armada jgn nungguin lama,Negatif,-1
ya Allah smga dpt pekerjaan bosen nganggur,allah smga kerja bosen nganggur,Negatif,-1
demi allah ga iklas,allah tidak iklas,Negatif,-1
"ya allah zaman pak anise jaklingko aja digratiskan dan kalau ada salah sampe dihujat se indonesia, apa kabar dengan ini? tolonglah pak saya sebagai pengguna tj sangat terasa bebanny.",allah zaman anise mikrotrans gratis kalau salah sampe hujat se indonesia apa kabar ini tolong saya guna transjakarta sangat asa bebanny,Negatif,-1
ya allaj mahal bgt pak ga kasian apa sm yg ga krj,allaj mahal pak tidak kasi apa sm tidak krj,Negatif,-1
"😭😭😭 alokasikan subsidi mobil listrik pribadi ke angkutan umum please, lebih tepat sasaran. bukannya negara atau kota yg maju itu yg rakyatnya banyak naik transum yaaa",alokasi subsidi mobil listrik pribadi angkut umum please lebih tepat sasar bukan negara kota maju yang rakyat banyak naik transportasi umum,Negatif,-1
always krl dari bojong indah ke sudirman cuman 3ribu wkwkwkwkwk,always krl bojong indah sudirman cuman ribu wkwkwkwkwk,Negatif,-1
Gw ambil motor aja deh! Apalagi area jaksel naik tj mpet2'an masi nafas aja udh alhamdulilah,ambil motor deh area jaksel naik transjakarta mpet an mas nafas sudah alhamdulilah,Negatif,-1
ya ammpunn mahall amatt,ammpunn mahall amatt,Negatif,-1
ya ampun bpk aja yg gajinya di kurangin trs disumbangin ke tj gmne😁,ampun bapak yang gaji rangin trs disumbangin transjakarta gmne,Negatif,-1
Ampun dah,ampun dah,Negatif,-1
ampun bgt pak 🙏,ampun pak,Negatif,-1
lagi an 3500 Aj Masih Mahal.. Yang di bener to kartu nya kenapa ga bisa kartu krl di gunakan di busway,an masih mahal benar to kartu kenapa tidak kartu krl guna di busway,Negatif,-1
anaaa jangannn😭😭 gua senin sampe minggu pake ini gua anak Rantau it mahall pliss😭 10-26 1 Reply,ana jangan senin sampe minggu pake saya anak rantau it mahall pliss,Negatif,-1
Setidaknya anak kuliahan di gratis kan lah 😭,anak kuliah gratis lah,Negatif,-1
anak kuliah gratis plis duitnya harus di irit²😭😭😭,anak kuliah gratis plis duit di irit,Negatif,-1
anak ssya tiap hari naik tj.dari naik sampe turun berdiri. mau di naikin lagi.,anak ssya tiap hari naik transjakarta naik sampe turun diri mau naikin,Negatif,-1
"ancang2 beli mtor ke jakpus, biar nambah rugi krna macet tu jakarta",ancang beli mtor jakpus nambah rugi krna macet tu jakarta,Negatif,-1
andai uang rakyat tdk dikorupsi....subsidi2 pasti tdk jd masalah krn itu hak rakyat,andai uang rakyat tdk korupsi subsidi tdk masalah itu hak rakyat,Negatif,-1
"Andre Hutauruk duit gaji itu ga ikut inflasi ya jadi kenaikan gaji tidak ada, “inflasi cuma terjadi pada uang anggaran”, inget baik” penduduk jkt 10-27 0 Reply",andre hutauruk duit gaji tidak ikut inflasi jadi naik gaji tidak inflasi cuma jadi uang anggar inget baik duduk jkt,Negatif,-1
andrianisftr masalahnya skrg tj tuh banyakk yg non brt jugaa jadi kudu tap 2x sekali jalann itu aja udah cukup beratt karena jadi bayar 7k masaa inii jadi 10k dan pp jadi 20k sendirii seharinyaa woww sihh 10-29 0 Reply,andrianisftr masalah skrg transjakarta banyakk non brt jugaa jadi kudu tempel x sekali jalann saja udah cukup beratt jadi bayar k masaa ini jadi k pulang pergi jadi k sendiri seharinyaa woww sihh,Negatif,-1
"ane gaji dengan dibawah UMR ini kerasa berat sih, apalagi ane transit 2x tiap hari PP lagi misquen dh gua gaji cuman buat ongkos😭",ane gaji bawah umr rasa berat apalagi ane transit x tiap hari pulang pergi misquen dh gaji cuman buat ongkos,Negatif,-1
aneh!!!,aneh,Negatif,-1
"aneh bgt ASN, TNI POLRI dikasih gratis. mereka gaji udah gede, tunjangan aman. yang dikasih gratis tuh warga kurang mampu.",aneh asn tni polri kasih gratis gaji udah gede tunjang aman kasih gratis warga kurang mampu,Negatif,-1
anggaran DKI paling gede subsidi gitu aja masa gak bisa,anggar dki paling gede subsidi gitu masa bisa,Negatif,-1
anggaran jkt lebih banyak kan pak drpd bogor dan daerah lainnya. kek gada kerjaan naik2in tarif.,anggar jkt lebih banyak pak drpd bogor daerah lain gada kerja naikin tarif,Negatif,-1
"anggaran dari pusat di kurangi, Transjakarta yg di korbankan 😁",anggar pusat kurang transjakarta di korban,Negatif,-1
angginrlll plis masa pp kuliah jd 20rb😭 14rb udah berasa buat ongkos doang sehari 10-26 1 Reply,angginrl plis masa pulang pergi kuliah rb rb udah asa buat ongkos doang hari,Negatif,-1
yang pengangguran juga donk asn kan ada penghasilan tunjangan transportation,anggur donk asn ada hasil tunjang transportation,Negatif,-1
"yg pengangguran yg hrs nya di gratisin, bukan ASN",anggur hrs di gratisin bukan asn,Negatif,-1
"AngkasaPraha🍉 Semestinya Transportasi Umum itu gratis, dan dibiayai dari pajak daerah. 10-27 0 Reply",angkasapraha mesti transportasi umum gratis biaya pajak daerah,Negatif,-1
"angmes ♡ Maaf, buat yang pp tiap hari ini berat banget😔, bukannya gimana tapi... hah sudahlah 10-26 1 Reply",angmes maaf buat pulang pergi tiap hari berat bukan gimana tapi hah sudah,Negatif,-1
Anisaa mesin d halte suka eror tep kartu ga biss tau2 Tep potong 2x uhh 10-27 0 Reply,anisaa mesin halte suka eror tep kartu tidak biss tep potong x uhh,Negatif,-1
anj,anj,Negatif,-1
𝖆𝖗𝖌𝖆 KOK????? ANJ LAH 10-27 0 Reply,anj lah,Negatif,-1
anjay lah 🤡,anjay lah,Negatif,-1
anjay naek,anjay naik,Negatif,-1
anjerit basway nak 7000 ..naik 5000 aja berat bagi gaji yg cukup sih ga keberatan klo yg penghasilan nya pas Pasan. ..berat lah..ini mah lahan korupsi buat gubernur..,anjerit basway nak naik berat gaji cukup tidak berat kalau hasil pas pas berat lah mah lahan korupsi buat gubernur,Negatif,-1
Anjiirrrrrr,anjiir,Negatif,-1
anjiiyyyyy giliran gua naik tj naik @Meican ♉,anjiiy gilir naik transjakarta naik,Negatif,-1
"anjir bukannya turun malah naik harga,kasian yg pelajar naik busway😭😭",anjing bukan turun malah naik harga kasi ajar naik busway,Negatif,-1
anjir lah,anjing lah,Negatif,-1
"anjirr lahhh, udah lama nunggu tj nya, malah naik tarif ny, gue sebagai pelajar bilek😭😭😭",anjirr lah udah lama nunggu transjakarta malah naik tarif gue ajar bilek,Negatif,-1
"ank sy stiap hr ke sekolah naek tj 😭 plisss jgn naek dong tarifnya kan anak""sekolH banyak jg yg mau naek tj",ank stiap hr sekolah naik transjakarta plis naik tarif anak sekolh banyak jg mau naik transjakarta,Negatif,-1
anyinglah😭,anyinglah,Negatif,-1
apa yang bisa diharapkan dari pemerintah anj dng0 tl0l di negara ini😹,apa bisa harap perintah anj dng tll negara,Negatif,-1
apa kabar anak sekolah yg naik transum 😔😔,apa kabar anak sekolah naik transportasi umum,Negatif,-1
apa kabar anak sekolah yg pp sekolah naik transum 😔,apa kabar anak sekolah pulang pergi sekolah naik transportasi umum,Negatif,-1
apa kerja nyata gub ini???,apa kerja nyata gubernur,Negatif,-1
apa2 naik apa gunanya gubernur ini,apa naik apa guna gubernur,Negatif,-1
"apa"" naik.. trif tol naik, pajak naik, bbm naik, tp ttep rugi.. gatau duitnya kmana 😂",apa naik trif tol naik pajak naik bbm naik tapi ttep rugi gatau duit kmana,Negatif,-1
apa utk mahasiswa berlku trf pelajar soalnya anak saya naik Tj utk srn ke cpmsnya klu naik brs jg sih PP scr saya single moms agk brt,apa mahasiswa berlku trf ajar soal anak naik transjakarta srn cpmsnya klu naik brs jg pulang pergi scr single moms agk brt,Negatif,-1
apa karena mulai pake adblue ya ? jadi naik,apa mulai pake adblue jadi naik,Negatif,-1
"apaan busway sekali jalan bisa kepotong 2x, kalau tap in dihalte BRT,tap out dilhalte non BRT atau sebaliknya",apa busway sekali jalan potong x kalau tempel in halte brt tempel out dilhalte non brt balik,Negatif,-1
APAAAN GW GA SETUJUUU ANJR GA BISA GITUU LAHHH,apan tidak tuju anjr tidak gituu lah,Negatif,-1
"apadah, kenapa jd mahal bgt ke 7k sekali perjalanan? mending naik grb aja sekalian 😒",apadah jd mahal ke k sekali jalan mending naik grb sekali,Negatif,-1
Apakabar yg berangkat jalan mesti tap 2 kali karna ad non brt & brt 😭🙏🏻,apakabar berangkat jalan mesti tempel kali ad non brt brt,Negatif,-1
aplikasinya dibenerin dulu PRAM... masa setiap transit bayar PRAM. 😂😂😂😂,aplikasi dibenerin dulu pram masa transit bayar pram,Negatif,-1
Arjuna wibisana tapi untuk dana hibah ke ormas aman kan pak? wkwkwk 11-3 0 Reply,arjuna wibisana tapi dana hibah ormas aman pak,Negatif,-1
armada dibanyakin ga,armada dibanyakin tidak,Negatif,-1
"Berarti bukan disubsidi sama pemda, tapi dari penumpang ...😂😂😂",arti bukan subsidi sama pemda tapi tumpang,Negatif,-1
Berasa banget sih 5k ini buat pp kuliah setiap hari 🥲,asa sih k buat pulang pergi kuliah hari,Negatif,-1
perasaan udah bisa buat bis Transjakarta sendiri lah kok makin mahal bukan asli buatan lokal malah makin merakyat ya 😁😁,asa udah buat bis transjakarta sendiri lah makin mahal bukan asli buat lokal malah makin rakyat,Negatif,-1
perasaan waktu pilgub blgnya bakal di gratiskan minimal transjakarta wkwk,asa waktu pilgub blgnya bakal gratis minimal transjakarta,Negatif,-1
Asahi Cosu 🧸 yg naik tj banyak warga kelas bawah padahal [tears] 10-27 0 Reply,asah cosu naik transjakarta banyak warga kelas bawah padahal tears,Negatif,-1
asal yg gratis naik kyk pensiunan publik masyarakat kyk pkk kl bs jgn duduk kl penuh kl manula g apa,asal gratis naik kyk pensiun publik masyarakat kyk pkk kalau jgn duduk kalau penuh kalau manula g apa,Negatif,-1
"Asal tahu aja. Meledaknya kepemilikan roda dua adalah disaat tarif angkot dan bus menjadi tidak lagi feasible untuk orang naik transum. Itupun tidak lepas karena kepemilikan moda transum itu sendiri. Jakarta dgn segala resikonya memonopoli transum adalah sebuah kenekatan kalau salah hitung. Mikro trans/jak-linko; juga salah satu beban opex yg perlu dicermati. Tapi kalo sampai 100% ya antara tolol sama idiotik sih. Kenapa ga pangkas fasilitas DPRD, kalo DPRD emang berpihak sama rakyat. DPRD setuju² aja sama kebijakan ini kan… ah sudahlah 🥱😴… (tahukan siapa yng menang di dki)",asal tahu ledak milik roda saat tarif mikrotrans bus jadi tidak feasible orang naik transportasi umum itu tidak lepas milik moda transportasi umum sendiri jakarta segala resiko monopoli transportasi umum adalah buah nekat kalau salah hitung mikro trans jak linko salah satu beban opex perlu cermat tapi kalau ya tolol sama idiotik kenapa tidak pangkas fasilitas dprd kalau dprd memang pihak sama rakyat dprd tuju sama bijak kan ah sudah tahu siapa yng menang dki,Negatif,-1
"ASN ama TNI polri harus nya byr knp jd gratis , klo lansia, difabel, pelajar g apa2 gratis",asn ama tni polri nya byr knp gratis kalau lansia difabel ajar g apa gratis,Negatif,-1
"asn, aparat gratis? mereka aja pada naik kendaraan pribadi",asn aparat gratis saja naik kendara pribadi,Negatif,-1
ASN bukannya gajinya udah tinggi pak? Dipikirkan lagi untuk para pekerja di ibukota yg gajinya masih dibawah UMR yg setiap berangkat dan pulang kerja naik Transjakarta pasti dengan naiknya tarif Tj akan memberatkan.,asn bukan gaji udah tinggi pikir untuk kerja ibukota gaji bawah umr tiap berangkat pulang kerja naik transjakarta dengan naik tarif transjakarta berat,Negatif,-1
"ASN gratis, pekerja lain non ASN di Jakarta bagaimana ?",asn gratis kerja non asn jakarta bagaimana,Negatif,-1
asn gratis kan punya gaji...gmn nasib emak rumah tangga,asn gratis punya gaji bagaimana nasib emak rumah tangga,Negatif,-1
asn gratis rakyat ya di mahalin,asn gratis rakyat di mahalin,Negatif,-1
Asn gratis.trus yg masih nganggur bayar nggak adil pak,asn gratis trus masih nganggur bayar adil,Negatif,-1
Asn gratis ?whatt?? gaji sdh tinggi kerja asal2an diberi lg naik Tj gratis ?,asn gratis whatt gaji tinggi kerja asal beri lg naik transjakarta gratis,Negatif,-1
ASN GRATIS woooo,asn gratis wo,Negatif,-1
"ASN pendapatannya sangat cukup untuk bayar tj, malah digratisin😂",asn dapat sangat cukup bayar transjakarta malah digratisin,Negatif,-1
asn kenapa do gratisin,asn do gratisin,Negatif,-1
asn udh bergaji masih ajj digratisin..😫,asn gaji ajj digratisin,Negatif,-1
ASN gaji besar tapi masih gratis😂😂,asn gaji besar tapi gratis,Negatif,-1
"ASN gaji gede apa² digratisin, yg swasta bengek pak.",asn gaji gede apa digratisin swasta bengek,Negatif,-1
asn gaji nya kecil. kata siapa besar ? yg besar itu yg kerja swasta apalagi di kantoran,asn gaji kecil kata siapa besar besar yang kerja swasta di kantor,Negatif,-1
"ASN gajinya puluhan juta pak gubernur ngapain digratiskan, harusnya kita2 ini yang gaji masih UMR",asn gaji puluh juta gubernur ngapain gratis harus ini gaji umr,Negatif,-1
asn gaji aja sudah disubsi dari pajak rakyat dan rakyat di suruh bayar lebih untuk transportasi asn. ingat om masyarakat banyak yang gaji dibawah umr,asn gaji sudah disubsi pajak rakyat rakyat suruh bayar lebih transportasi asn ingat masyarakat banyak gaji bawah umr,Negatif,-1
yg ASN ganti sama tukang kuli.cm saran aja sih,asn ganti sama tukang kuli cm saran sih,Negatif,-1
ASN di gratisin?? 😂,asn gratisin,Negatif,-1
Asn kok di gratisin..pelajar/kuliah di kasih gratis pak,asn gratisin ajar kuliah di kasih gratis,Negatif,-1
ASN DI GRATISIN KOCAK,asn gratisin kocak,Negatif,-1
asn kok di gratisin. padahal udah di gaji dari pajak,asn gratisin padahal udah di gaji pajak,Negatif,-1
ASN harusnya jgn gratis lah kan gajinya pasti gmn yg digratiskan yg punya gaji tetap .....,asn harus gratis lah gaji bagaimana gratis punya gaji tetap,Negatif,-1
ASN Hrsnya bayar. kok lucu malah gratis!,asn hrsnya bayar lucu malah gratis,Negatif,-1
asn dki juga pd suruh bayar lah enk bgt kloo msh gratis,asn dki pd suruh bayar lah enk kloo gratis,Negatif,-1
ASN JANGAN DI GRATISIN GIMNA SIH KAN DAPET GAJIH GEDE WOYYY,asn jangan gratisin gimna kan dapet gajih gede woy,Negatif,-1
ASN KOK kami yang nanggung @pramonoanungw anj,asn kami nanggung anj,Negatif,-1
"ASN knp d gratisin? trus masyarakat d suruh bayar, sama aja kaya ngasih subsidi buat ASN tp pake duit rakyat lg ya wkwkwk",asn knp gratisin trus masyarakat suruh bayar sama kaya ngasih subsidi buat asn tapi pake duit rakyat lg,Negatif,-1
ASN yang makan gaji buta langsung tersenyum lebar,asn makan gaji buta langsung senyum lebar,Negatif,-1
ASN makan Dr gaji rakyat lah di kasih gratis. kocak. terus warga yg bayar pajak suruh bayar lebih,asn makan dr gaji rakyat lah kasih gratis kocak terus warga bayar pajak suruh bayar lebih,Negatif,-1
ASN NGAPAIN GRATIS PAK😭,asn ngapain gratis,Negatif,-1
asn ngapain dibgratisan?,asn ngapain dibgratisan,Negatif,-1
asn ngapain digratisin anjir?,asn ngapain digratisin anjing,Negatif,-1
ASN NGAPAIN DIGRATISKAN 😏😏,asn ngapain gratis,Negatif,-1
asn harus nya gak usah di gratisin kasihan kami para karyawan yg gaji minim,asn nya usah gratisin kasihan para karyawan gaji minim,Negatif,-1
asn pemprov dki aja gratis kenapa masyarakat umum tarifnya naik??,asn pemprov dki gratis masyarakat umum tarif naik,Negatif,-1
ASN PEMPROV DKI DOANG YA GESSSS YAAAA ASN JELATA TETEP BAYAR,asn pemprov dki doang ges asn jelata tetep bayar,Negatif,-1
asn pns tni ngapain gratis pak? emng nya dia naik transum yaa? yg bener bener aja pak,asn pns tni ngapain gratis emng dia naik transportasi umum yaa benar benar pak,Negatif,-1
ASN & POLRI GAJINYA UDAH GEDE NGAPAIN DIGRATISIN LAGI,asn polri gaji udah gede ngapain digratisin,Negatif,-1
asn polri sama TNI gratis. kayaknya gajinya udah lumayan. kenpa malah menekan orang2 yg di bawah.orang naik tj biar irit ini malah naikin,asn polri sama tni gratis kayak gaji udah lumayan kenpa malah tekan orang di bawah orang naik transjakarta irit malah naikin,Negatif,-1
ASN POLRI TNI bayar juga lah Pak,asn polri tni bayar lah,Negatif,-1
"asn, polri, tni knp digratisin😭 masa digendong ama kite yg gaji nya pas-pasan😭😭",asn polri tni knp digratisin masa gendong ama kite gaji pas pas,Negatif,-1
"ASN sama TNI ngapain di gratisin,kebanyakan kan juga suka dapet fasilitas dari negara,udh gitu gajinya juga lumayan, justru mereka yg harusnya di naikin,bukan malah warga biasa yg kesehariannya naik transum di naikin harganya untuk menopang ongkos ASN dan TNI",asn sama tni ngapain gratisin banyak suka dapet fasilitas negara gitu gaji juga lumayan justru harus naikin bukan malah warga biasa yang hari naik transportasi umum naikin harga topang ongkos asn tni,Negatif,-1
Ya asn sama tni polri gausah anj,asn sama tni polri gausah anj,Negatif,-1
"ASN , KAN TERIMA GAJI DIATAS UMR PLUS TUNJANGAN KNP HARUS GRATIS, LALU GMN KLU PEGAWAI ALFAMART YG GAJINYA JAUUUHHHH BGT DIBAWAH UMR BOLEH GRATIS NGGAK PAK",asn terima gaji atas umr plus tunjang knp gratis lalu bagaimana klu pegawai alfamart gaji jauh bawah umr gratis pak,Negatif,-1
ASN ga boleh gratis pak. jml mrk byk. dan juga mrk sering pungli dan kerjanya ga maksimal pak. kita itu udah motor ganti Trans krn AC. terus ngitung lb murah walo lb lambat dr motor. ya skr itungan nya jadi beda lagi dech.,asn tidak gratis jml mrk byk juga mrk sering pungli kerja tidak maksimal kita udah motor ganti trans ac terus ngitung lb murah walo lb lambat dr motor skr itungan jadi beda dech,Negatif,-1
asn tni pun gratis?,asn tni gratis,Negatif,-1
"asn tni polri yg ad gaji ad tunjangan msh dikasih gratis , tp pemulung pengamen mau naik transjakarta setengah mampus nyari uang nya mlh ga dpt fasilitas",asn tni polri ad gaji ad tunjang kasih gratis tapi pulung amen mau naik transjakarta tengah mampus nyari uang mlh tidak fasilitas,Negatif,-1
"asn, TNI, polri buat apa gratis?? emang tunjangan mereka gak cukup buat naik Transjakarta??? mahasiswa juga make Transjakarta kenapa gak gratis juga?? ini pemerintah mikir apa gak sih kek gak punya otak",asn tni polri buat apa gratis memang tunjang cukup buat naik transjakarta mahasiswa make transjakarta gak gratis ini perintah mikir apa gak sih gak punya otak,Negatif,-1
asn tni polri kenapa gratis?,asn tni polri gratis,Negatif,-1
"ASN, TNI/Polri kenapa gratis pak @pramonoanungw ? kan mrk punya gaji ???",asn tni polri gratis kan mrk punya gaji,Negatif,-1
Asn tni polri gratis? Lah mereka gajian sampe mati gratis. pendapatan gw 2000k cb kasih tau gw masuk golongan gratis yg mana?,asn tni polri gratis lah gaji sampe mati gratis dapat k cb kasih saya masuk golong gratis mana,Negatif,-1
"asn TNI polri enak banget gratis, gaji dah cukup lumayan masih dpt subsidi pemerintah. 😭😭",asn tni polri enak gratis gaji dah cukup lumayan dapat subsidi perintah,Negatif,-1
asn tni polri gada yg naik transjakarta pak😁🙏🏻🙏🏻,asn tni polri gada naik transjakarta,Negatif,-1
"asn, TNI, polri digratiskan? seharusnya mereka tidak dapat subsidi. warga kembang kempis gaji sebulan habis cuma buat ungkos. 😭",asn tni polri gratis mereka tidak subsidi warga kembang kempis gaji bulan habis cuma buat ungkos,Negatif,-1
